地点コード,地点,地点カナ,府県番号,区分,緯度_度,緯度_分,緯度,経度_度,経度_分,経度,標高,雨,風,気温,日照,積雪深,ed_y,ed_m,ed_d,観測終了日,備考1,備考2,備考3,備考4,備考5,観測所番号1,観測所番号2
0102,殖産高地,ショクサンコウチ,20,A,43,26.1,43.4350,143,41.7,143.6950,419,Y,N,N,N,N,1983,7,29,1983/7/29,,,,,,,
0103,ぬかびら源泉郷,ヌカビラゲンセンキョウ,20,A,43,22,43.3667,143,11.5,143.1917,540,Y,Y,Y,Y,Y,9999,99,99,,2011年5月31日までの地点名「糠平」,,,,,20186,20910
0104,小坂山,コサカヤマ,20,A,43,23.8,43.3967,143,29,143.4833,740,Y,N,N,N,N,1983,10,4,1983/10/4,,,,,,,
0105,上足寄,カミアショロ,20,A,43,21.4,43.3567,143,48.1,143.8017,384,Y,N,N,N,N,1983,10,4,1983/10/4,,,,,,,
0106,西ヌプカウシ山,ニシヌプカウシヤマ,20,A,43,14.5,43.2417,143,4.3,143.0717,760,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0107,上士幌,カミシホロ,20,A,43,14.1,43.2350,143,18.2,143.3033,295,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20266,20920
0108,幌安山,ホロヤスヤマ,20,A,43,14.9,43.2483,143,26.7,143.4450,440,Y,N,N,N,N,1983,7,29,1983/7/29,,,,,,,
0109,足寄,アショロ,20,A,43,14.6,43.2433,143,33.2,143.5533,90,Y,Y,Y,Y,N,9999,99,99,,,,,,,20276,
0110,佐幌岳,サホロダケ,20,A,43,10.4,43.1733,142,46.9,142.7817,900,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0111,三角山,サンカクヤマ,20,A,43,11.8,43.1967,142,58.1,142.9683,560,Y,N,N,N,N,1984,10,1,1984/10/1,,,,,,,
0112,本別,ホンベツ,20,A,43,7.9,43.1317,143,36,143.6000,67,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20341,20935
0113,新得,シントク,20,A,43,4.6,43.0767,142,50.4,142.8400,178,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20356,20930
0114,鹿追,シカオイ,20,A,43,6.2,43.1033,142,59.7,142.9950,206,Y,Y,Y,Y,N,9999,99,99,,,,,,,20361,
0115,芽室,メムロ,20,A,42,54,42.9000,143,2.6,143.0433,90,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20421,20940
47417,帯広,オビヒロ,20,S,42,55.3,42.9217,143,12.7,143.2117,38.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20432,20943
0117,池田,イケダ,20,A,42,55.2,42.9200,143,27.5,143.4583,42,Y,Y,Y,Y,N,9999,99,99,,,,,,,20441,
0118,浦幌,ウラホロ,20,A,42,48.5,42.8083,143,39.4,143.6567,20,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20506,20945
0119,帯広岳,オビヒロダケ,20,A,42,44.8,42.7467,142,56,142.9333,440,Y,N,N,N,N,1996,10,2,1996/10/2,,,,,,,
0120,ひょうたん沢,ヒョウタンザワ,20,A,42,35.8,42.5967,143,3.8,143.0633,380,Y,N,N,N,N,1996,9,25,1996/9/25,,,,,,,
0121,大樹,タイキ,20,A,42,30,42.5000,143,16.5,143.2750,87,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20696,20960
47440,広尾,ヒロオ,20,S,42,17.6,42.2933,143,18.9,143.3150,32.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20751,20965
1099,三国山,ミクニヤマ,20,A,43,34.1,43.5683,143,8.4,143.1400,940,Y,N,N,N,N,2005,9,27,2005/9/27,,,,,,,
1204,駒場,コマバ,20,A,43,3,43.0500,143,11,143.1833,112,Y,Y,Y,Y,N,9999,99,99,,,,,,,20371,
1210,上札内,カミサツナイ,20,A,42,38.5,42.6417,143,5.8,143.0967,251,Y,Y,Y,Y,Y,9999,99,99,,,,,,,20601,20950
1211,更別,サラベツ,20,A,42,38.9,42.6483,143,11.4,143.1900,190,Y,Y,Y,Y,N,9999,99,99,,,,,,,20606,
1214,大津,オオツ,20,A,42,41.1,42.6850,143,38.8,143.6467,4,Y,Y,Y,Y,N,9999,99,99,,,,,,,20631,
1286,糠内,ヌカナイ,20,A,42,47.2,42.7867,143,19.7,143.3283,70,Y,Y,Y,Y,N,9999,99,99,,,,,,,20556,
1404,小利別,ショウトシベツ,20,A,43,35.3,43.5883,143,40.8,143.6800,313,Y,N,N,N,N,9999,99,99,,,,,,,20071,
1405,押帯,オショップ,20,A,43,6.9,43.1150,143,26.6,143.4433,104,Y,N,N,N,N,9999,99,99,,,,,,,20331,
1409,柏倉,カシワクラ,20,A,43,21.7,43.3617,143,27.5,143.4583,378,Y,N,N,N,N,9999,99,99,,,,,,,20202,
1410,上螺湾,カミラワン,20,A,43,19.1,43.3183,143,48.1,143.8017,232,Y,N,N,N,N,9999,99,99,,,,,,,20222,
1418,留真,ルシン,20,A,42,55,42.9167,143,39.7,143.6617,40,Y,N,N,N,N,9999,99,99,,,,,,,20451,
1510,帯広泉,オビヒロイズミ,20,A,42,44,42.7333,143,13,143.2167,149,Y,Y,Y,N,Y,9999,99,99,,,,,,,20551,20955
1571,三股,ミツマタ,20,A,43,30.6,43.5100,143,8.9,143.1483,660,Y,N,N,N,N,9999,99,99,,,,,,,20047,
0123,安平,アビラ,21,A,42,48.8,42.8133,141,49.7,141.8283,32,Y,N,N,N,Y,9999,99,99,,,,,,,21031,21900
0124,厚真,アツマ,21,A,42,43.8,42.7300,141,53.3,141.8883,20,Y,Y,Y,Y,N,9999,99,99,,,,,,,21111,
0125,穂別,ホベツ,21,A,42,45.7,42.7617,142,8.6,142.1433,56,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21126,21905
0126,森野,モリノ,21,A,42,37.8,42.6300,141,14.8,141.2467,170,Y,Y,Y,Y,N,9999,99,99,,,,,,,21171,
47424,苫小牧,トマコマイ,21,S,42,37.4,42.6233,141,32.8,141.5467,6.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21187,21913
0128,大岸,オオキシ,21,A,42,35.4,42.5900,140,38.6,140.6433,8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21226,21915
0129,有珠山,ウスサン,21,A,42,31.9,42.5317,140,51.2,140.8533,281,Y,N,N,N,N,1984,10,11,1984/10/11,,,,,,,
0130,白老,シラオイ,21,A,42,32.6,42.5433,141,21.1,141.3517,6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21261,21920
0131,鵡川,ムカワ,21,A,42,35.4,42.5900,141,56,141.9333,10,Y,Y,Y,Y,N,9999,99,99,,,,,,,21276,
0132,伊達,ダテ,21,A,42,28.4,42.4733,140,52.6,140.8767,16,Y,Y,Y,Y,N,9999,99,99,,,,,,,21297,
0133,登別山,ノボリベツヤマ,21,A,42,30,42.5000,141,7.3,141.1217,579,Y,N,N,N,N,1985,6,27,1985/6/27,,,,,,,
0134,登別,ノボリベツ,21,A,42,27.5,42.4583,141,7.1,141.1183,197,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21312,21925
47423,室蘭,ムロラン,21,S,42,18.7,42.3117,140,58.5,140.9750,39.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21323,21930
1067,大滝,オオタキ,21,A,42,40.2,42.6700,141,4.7,141.0783,390,Y,Y,Y,Y,Y,9999,99,99,,,,,,,21161,21910
1329,洞爺湖温泉,トウヤコオンセン,21,A,42,33.9,42.5650,140,48.4,140.8067,85,Y,N,N,N,Y,9999,99,99,,,,,,,21237,
1429,カルルス,カルルス,21,A,42,31,42.5167,141,6.4,141.1067,300,Y,N,N,N,N,9999,99,99,,,,,,,21251,
1496,豊浦,トヨウラ,21,A,42,35,42.5833,140,42.5,140.7083,5,Y,N,N,N,N,2000,8,23,2000/8/23,,,,,,,
1498,花和,ハナワ,21,A,42,37,42.6167,140,45.4,140.7567,282,Y,N,N,N,N,2000,6,29,2000/6/29,,,,,,,
1499,虻田,アブタ,21,A,42,33,42.5500,140,46,140.7667,15,Y,N,N,N,N,2002,12,9,2002/12/9,,,,,,,
1500,壮瞥,ソウベツ,21,A,42,33.3,42.5550,140,51.2,140.8533,110,Y,N,N,N,N,2004,4,1,2004/4/1,,,,,,,
1501,入江,イリエ,21,A,42,32.6,42.5433,140,47.1,140.7850,38,Y,N,N,N,N,2004,4,1,2004/4/1,,,,,,,
1502,月浦,ツキウラ,21,A,42,35.5,42.5917,140,47.3,140.7883,97,Y,N,N,N,N,2000,8,23,2000/8/23,,,,,,,
1503,北有珠,キタウス,21,A,42,31.3,42.5217,140,50,140.8333,165,Y,N,N,N,N,2000,8,23,2000/8/23,,,,,,,
1504,洞爺湖畔,トウヤコハン,21,A,42,34.1,42.5683,140,48.1,140.8017,105,Y,N,N,N,N,2000,12,6,2000/12/6,,,,,,,
0136,日高門別,ヒダカモンベツ,22,A,42,31.3,42.5217,142,2.2,142.0367,10,Y,Y,Y,Y,N,9999,99,99,,,,,,,22141,
0137,新和,シンワ,22,A,42,32.6,42.5433,142,20,142.3333,60,Y,Y,Y,Y,N,9999,99,99,,,,,,,22156,
0138,ヌモトル山,ヌモトルヤマ,22,A,42,36,42.6000,142,23.7,142.3950,613,Y,N,N,N,N,1985,10,1,1985/10/1,,,,,,,
0139,笹山,ササヤマ,22,A,42,26,42.4333,142,28.9,142.4817,110,Y,N,N,N,N,9999,99,99,,,,,,,22206,
0140,静内,シズナイ,22,A,42,20.6,42.3433,142,21.7,142.3617,10,Y,Y,Y,Y,Y,9999,99,99,,,,,,,22241,22920
0141,ピセナイ山,ピセナイヤマ,22,A,42,21.3,42.3550,142,39.5,142.6583,500,Y,N,N,N,N,1998,1,29,1998/1/29,,,,,,,
47426,浦河,ウラカワ,22,S,42,9.7,42.1617,142,46.6,142.7767,36.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,22327,22913
1097,仁世宇,ニセウ,22,A,42,46.3,42.7717,142,21.5,142.3583,150,Y,N,N,N,N,9999,99,99,,,,,,,22072,
1198,三石,ミツイシ,22,A,42,14.7,42.2450,142,39.7,142.6617,10,Y,Y,Y,Y,N,9999,99,99,,,,,,,22291,
1202,日高,ヒダカ,22,A,42,52.6,42.8767,142,26.5,142.4417,280,Y,Y,Y,Y,Y,9999,99,99,,,,,,,22036,22900
1264,幌満,ホロマン,22,A,42,4.6,42.0767,143,2.1,143.0350,0,Y,N,N,N,N,9999,99,99,,,,,,,22366,
1276,目黒,メグロ,22,A,42,7.6,42.1267,143,18.8,143.3133,17,Y,N,N,N,Y,9999,99,99,,,,,,,22356,22915
1288,中杵臼,ナカキネウス,22,A,42,13.4,42.2233,142,56.9,142.9483,80,Y,Y,Y,Y,Y,9999,99,99,,,,,,,22306,22910
1340,えりも岬,エリモミサキ,22,A,41,55.5,41.9250,143,14.6,143.2433,63,Y,Y,Y,Y,N,9999,99,99,,,,,,,22391,
1430,旭,アサヒ,22,A,42,37.7,42.6283,142,23.6,142.3933,245,Y,N,N,N,Y,9999,99,99,,,,,,,22106,22906
1594,平取,ビラトリ,22,A,42,36.4,42.6067,142,8.8,142.1467,44,N,N,N,N,Y,2004,10,11,2004/10/11,,,,,,,
0143,長万部,オシャマンベ,23,A,42,31.4,42.5233,140,22.9,140.3817,10,Y,Y,Y,Y,Y,9999,99,99,,,,,,,23031,23900
0144,八雲,ヤクモ,23,A,42,15.1,42.2517,140,16.3,140.2717,8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,23086,23905
0145,森,モリ,23,A,42,4,42.0667,140,35.3,140.5883,125,Y,Y,Y,Y,Y,9999,99,99,,,,,,,23166,23925
0146,大沼,オオヌマ,23,A,41,58.6,41.9767,140,42.9,140.7150,165,Y,N,N,N,Y,9999,99,99,,,,,,,23191,23910
0147,川汲,カックミ,23,A,41,54.3,41.9050,140,58.2,140.9700,25,Y,Y,Y,Y,N,9999,99,99,,2004年12月5日までの地点名「南茅部」,,,,,23206,
0148,北斗,ホクト,23,A,41,53.2,41.8867,140,39.2,140.6533,25,Y,Y,Y,Y,N,9999,99,99,,2006年1月31日までの地点名「大野」,,,,,23226,
47430,函館,ハコダテ,23,S,41,49,41.8167,140,45.2,140.7533,35,Y,Y,Y,Y,Y,9999,99,99,,,,,,,23232,23915
0150,汐首,シオクビ,23,A,41,43.1,41.7183,140,56.7,140.9450,26,Y,N,N,N,N,1984,10,18,1984/10/18,,,,,,,
0151,小谷石,コタニイシ,23,A,41,32.6,41.5433,140,25.8,140.4300,125,Y,N,N,N,N,2004,9,21,2004/9/21,,,,,,,
0152,松前,マツマエ,23,A,41,25.4,41.4233,140,5.2,140.0867,30,Y,Y,Y,Y,N,9999,99,99,,,,,,,23376,
0917,木古内,キコナイ,23,A,41,41.2,41.6867,140,26.7,140.4450,6,Y,Y,Y,Y,N,9999,99,99,,,,,,,23326,
1265,千軒,センゲン,23,A,41,33.5,41.5583,140,16.3,140.2717,100,Y,N,N,N,Y,9999,99,99,,,,,,,23356,23920
1416,蛾眉野,ガビノ,23,A,41,47.9,41.7983,140,57,140.9500,68,Y,N,N,N,N,2003,3,19,2003/3/19,,,,,,,
1462,高松,タカマツ,23,A,41,46.2,41.7700,140,49.3,140.8217,34,Y,Y,Y,N,Y,9999,99,99,,,,,,,23281,23930
1543,戸井泊,トイトマリ,23,A,41,43,41.7167,141,0.2,141.0033,20,Y,N,N,N,N,9999,99,99,,2004年12月5日までの地点名「戸井」,,,,,23291,
1552,知内,シリウチ,23,A,41,35.9,41.5983,140,22.5,140.3750,24,Y,N,N,N,N,9999,99,99,,,,,,,23321,
0155,熊石,クマイシ,23,A,42,7.7,42.1283,139,59.1,139.9850,12,Y,Y,Y,Y,Y,9999,99,99,,,,,,,24141,24905
0153,せたな,セタナ,24,A,42,27,42.4500,139,51.1,139.8517,10,Y,Y,Y,Y,N,9999,99,99,,2005年10月2日までの地点名「瀬棚」,,,,,24041,
0154,今金,イマカネ,24,A,42,25.7,42.4283,140,0.5,140.0083,19,Y,Y,Y,Y,Y,9999,99,99,,,,,,,24051,24900
0156,潮見,シオミ,24,A,42,2.3,42.0383,140,5.3,140.0883,50,Y,N,N,N,N,9999,99,99,,,,,,,24166,
47428,江差,エサシ,24,S,41,52,41.8667,140,7.4,140.1233,3.7,Y,Y,Y,Y,Y,9999,99,99,,,,,,,24217,24915
1199,奥尻,オクシリ,24,A,42,14.9,42.2483,139,33.4,139.5567,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,24101,
1200,鶉,ウズラ,24,A,41,55.8,41.9300,140,18.7,140.3117,53,Y,Y,Y,Y,Y,9999,99,99,,,,,,,24201,24910
1205,石崎,イシザキ,24,A,41,42,41.7000,140,1.7,140.0283,5,Y,N,N,N,N,9999,99,99,,,,,,,24236,
1513,米岡,ヨネオカ,24,A,42,4.3,42.0717,139,25.9,139.4317,49,Y,Y,Y,N,N,9999,99,99,,,,,,,24156,
0158,障子山,ショウジヤマ,31,A,41,16.6,41.2767,141,5.8,141.0967,740,Y,N,N,N,N,2005,10,20,2005/10/20,,,,,,,
47576,むつ,ムツ,31,S,41,17,41.2833,141,12.6,141.2100,2.9,Y,Y,Y,Y,Y,9999,99,99,,1970年4月16日までの地点名「田名部」,,,,,31111,31903
0160,蟹田,カニタ,31,A,41,2.7,41.0450,140,38,140.6333,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,31201,
47575,青森,アオモリ,31,S,40,49.3,40.8217,140,46.1,140.7683,2.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31312,31913
0162,野辺地,ノヘジ,31,A,40,53.1,40.8850,141,9.6,141.1600,14,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31332,31916
0163,鰺ケ沢,アジガサワ,31,A,40,46.6,40.7767,140,12.3,140.2050,40,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31366,31945
0164,五所川原,ゴショガワラ,31,A,40,48.5,40.8083,140,27.5,140.4583,9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31296,31910
47574,深浦,フカウラ,31,S,40,38.7,40.6450,139,55.9,139.9317,66.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31436,31923
0166,弘前,ヒロサキ,31,A,40,36.7,40.6117,140,27.3,140.4550,30,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31461,31920
0167,黒石,クロイシ,31,A,40,40,40.6667,140,35.1,140.5850,30,Y,Y,Y,Y,N,9999,99,99,,,,,,,31466,
0168,八甲田山,ハッコウダサン,31,A,40,40.5,40.6750,140,51.5,140.8583,1310,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0169,三沢,ミサワ,31,A,40,40.5,40.6750,141,22.5,141.3750,39,Y,Y,Y,Y,N,9999,99,99,,,,,,,31506,
0170,四兵衛森,シヘイモリ,31,A,40,33.1,40.5517,140,12.4,140.2067,645,Y,N,N,N,N,1996,10,14,1996/10/14,,,,,,,
0171,毛無山,ケナシヤマ,31,A,40,33.1,40.5517,140,45.2,140.7533,940,Y,N,N,N,N,1983,9,12,1983/9/12,,,,,,,
0172,十和田,トワダ,31,A,40,35.7,40.5950,141,14.8,141.2467,42,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31586,31950
47581,八戸,ハチノヘ,31,S,40,31.6,40.5267,141,31.3,141.5217,27.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31602,31953
0174,大鰐,オオワニ,31,A,40,31.8,40.5300,140,33.3,140.5550,63,Y,N,N,N,N,9999,99,99,,,,,,,31551,
0175,碇ケ関,イカリガセキ,31,A,40,28.9,40.4817,140,37.2,140.6200,135,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31646,31935
0176,空岱山,ソラダイヤマ,31,A,40,26.3,40.4383,140,42.5,140.7083,585,Y,N,N,N,N,1994,10,26,1994/10/26,,,,,,,
0177,休屋,ヤスミヤ,31,A,40,25.6,40.4267,140,53.9,140.8983,414,Y,Y,Y,Y,N,9999,99,99,,,,,,,31662,
0178,朝日奈岳,アサヒナダケ,31,A,40,19.5,40.3250,141,2.9,141.0483,710,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0179,三戸,サンノヘ,31,A,40,23,40.3833,141,15.4,141.2567,60,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31721,31955
1026,今別,イマベツ,31,A,41,10.8,41.1800,140,28.9,140.4817,30,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31136,31905
1027,六ケ所,ロッカショ,31,A,40,53.1,40.8850,141,16.3,141.2717,80,Y,Y,Y,Y,N,9999,99,99,,,,,,,31336,
1041,大間,オオマ,31,A,41,31.6,41.5267,140,54.7,140.9117,14,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31001,31900
1042,大和山,ヤマトヤマ,31,A,40,50.9,40.8483,140,59.1,140.9850,137,Y,N,N,N,N,9999,99,99,,,,,,,31321,
1079,酸ケ湯,スカユ,31,A,40,38.9,40.6483,140,50.9,140.8483,890,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31482,31925
1108,岳,ダケ,31,A,40,37.7,40.6283,140,15.8,140.2633,438,Y,N,N,N,N,9999,99,99,,,,,,,31451,
1110,長慶平,チョウケイダイラ,31,A,40,37.1,40.6183,139,59.8,139.9967,242,Y,N,N,N,N,1977,9,1,1977/9/1,,,,,,,
1119,市浦,シウラ,31,A,41,3.4,41.0567,140,20.8,140.3467,20,Y,Y,Y,Y,N,9999,99,99,,,,,,,31186,
1122,小田野沢,オダノサワ,31,A,41,14.1,41.2350,141,23.8,141.3967,6,Y,Y,Y,Y,N,9999,99,99,,,,,,,31121,
1124,脇野沢,ワキノサワ,31,A,41,8.7,41.1450,140,49.3,140.8217,15,Y,Y,Y,Y,Y,9999,99,99,,,,,,,31156,31940
1183,七戸,シチノヘ,31,A,40,42.5,40.7083,141,7.7,141.1283,57,Y,N,N,N,N,9999,99,99,,,,,,,31411,
1272,戸来,ヘライ,31,A,40,28.1,40.4683,141,10.6,141.1767,125,Y,N,N,N,N,9999,99,99,,,,,,,31671,
1406,温川,ヌルカワ,31,A,40,30.9,40.5150,140,47,140.7833,404,Y,N,N,N,N,9999,99,99,,,,,,,31562,
1495,青森大谷,アオモリオオタニ,31,A,40,44,40.7333,140,41.3,140.6883,198,Y,Y,Y,N,N,9999,99,99,,,,,,,31386,
1559,湯野川,ユノカワ,31,A,41,18.8,41.3133,140,57.4,140.9567,162,Y,N,N,N,N,9999,99,99,,,,,,,31036,
0180,田代岳,タシロダケ,32,A,40,24.7,40.4117,140,24,140.4000,800,Y,N,N,N,N,2005,4,20,2005/4/20,,,,,,,
0181,陣場,ジンバ,32,A,40,24.2,40.4033,140,36.5,140.6083,176,Y,N,N,N,N,9999,99,99,,,,,,,32091,
0182,杉沢山,スギサワヤマ,32,A,40,21.9,40.3650,140,48.6,140.8100,670,Y,N,N,N,N,1983,9,20,1983/9/20,,,,,,,
0183,能代,ノシロ,32,A,40,11.9,40.1983,140,1.9,140.0317,6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32111,32900
0184,鷹巣,タカノス,32,A,40,13.6,40.2267,140,22.3,140.3717,29,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32126,32905
0185,鹿角,カヅノ,32,A,40,12.9,40.2150,140,47.2,140.7867,123,Y,Y,Y,Y,Y,9999,99,99,,1991年7月18日までの地点名「毛馬内」,,,,,32146,32910
0186,湯瀬,ユゼ,32,A,40,7.2,40.1200,140,50.4,140.8400,214,Y,Y,Y,Y,N,9999,99,99,,,,,,,32206,
0187,森吉山,モリヨシヤマ,32,A,40,0.3,40.0050,140,31.1,140.5183,800,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0188,五城目,ゴジョウメ,32,A,39,56.3,39.9383,140,6.9,140.1150,6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32296,32915
0189,男鹿本山,オガホンザン,32,A,39,53.5,39.8917,139,46,139.7667,440,Y,N,N,N,N,1984,11,1,1984/11/1,,,,,,,
47582,秋田,アキタ,32,S,39,43,39.7167,140,5.9,140.0983,6.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32402,32927
0191,太平山,タイヘイザン,32,A,39,47,39.7833,140,15,140.2500,600,Y,N,N,N,N,1984,10,31,1984/10/31,,,,,,,
0192,岩見三内,イワミサンナイ,32,A,39,42.4,39.7067,140,17.2,140.2867,41,Y,Y,Y,Y,N,9999,99,99,,,,,,,32407,
0193,角館,カクノダテ,32,A,39,36.2,39.6033,140,33.4,140.5567,56,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32466,32930
0194,田沢湖,タザワコ,32,A,39,41.9,39.6983,140,43.9,140.7317,230,Y,Y,Y,Y,N,9999,99,99,,,,,,,32476,
0195,大曲,オオマガリ,32,A,39,29.4,39.4900,140,29.7,140.4950,30,Y,Y,Y,Y,N,9999,99,99,,,,,,,32551,
0196,本荘,ホンジョウ,32,A,39,21.6,39.3600,140,3.3,140.0550,11,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32571,32940
0197,保呂羽山,ホロハヤマ,32,A,39,22.1,39.3683,140,19,140.3167,340,Y,N,N,N,N,2005,4,20,2005/4/20,,,,,,,
0198,横手,ヨコテ,32,A,39,19.2,39.3200,140,33.3,140.5550,59,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32596,32945
0199,象潟,キサカタ,32,A,39,13.3,39.2217,139,54.1,139.9017,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,32616,
0200,矢島,ヤシマ,32,A,39,14.1,39.2350,140,8.2,140.1367,46,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32626,32950
0201,三森山,ミツモリヤマ,32,A,39,13.3,39.2217,140,43,140.7167,570,Y,N,N,N,N,1994,10,5,1994/10/5,,,,,,,
0202,湯沢,ユザワ,32,A,39,11.2,39.1867,140,27.8,140.4633,74,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32691,32960
0203,姥井戸山,ウバイドヤマ,32,A,39,5.6,39.0933,140,20.1,140.3350,690,Y,N,N,N,N,1983,9,12,1983/9/12,,,,,,,
0204,湯の岱,ユノタイ,32,A,38,57.6,38.9600,140,31.7,140.5283,335,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32771,32955
0912,大館,オオダテ,32,A,40,15.1,40.2517,140,30.3,140.5050,49,Y,Y,Y,Y,N,9999,99,99,,,,,,,32136,
1035,大潟,オオガタ,32,A,40,0,40.0000,139,57,139.9500,-3,Y,Y,Y,Y,N,9999,99,99,,,,,,,32287,
1036,男鹿,オガ,32,A,39,54.7,39.9117,139,54,139.9000,20,Y,Y,Y,Y,N,9999,99,99,,,,,,,32286,
1043,八森,ハチモリ,32,A,40,23.3,40.3883,139,58.9,139.9817,31,Y,Y,Y,Y,N,9999,99,99,,,,,,,32056,
1050,大正寺,ダイショウジ,32,A,39,31.6,39.5267,140,14,140.2333,20,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32496,32935
1109,東成瀬,ヒガシナルセ,32,A,39,10.7,39.1783,140,38.9,140.6483,191,Y,N,N,N,N,9999,99,99,,,,,,,32701,
1115,比立内,ヒタチナイ,32,A,39,54.2,39.9033,140,27,140.4500,210,Y,N,N,N,N,9999,99,99,,,,,,,32312,
1117,東由利,ヒガシユリ,32,A,39,18.3,39.3050,140,17.3,140.2883,117,Y,Y,Y,Y,N,9999,99,99,,,,,,,32581,
1131,阿仁合,アニアイ,32,A,39,59.6,39.9933,140,24.2,140.4033,120,Y,Y,Y,Y,Y,9999,99,99,,,,,,,32311,32920
1167,鎧畑,ヨロイバタ,32,A,39,46.5,39.7750,140,39.9,140.6650,281,Y,N,N,N,N,9999,99,99,,,,,,,32426,
1273,藤里,フジサト,32,A,40,19.2,40.3200,140,17.6,140.2933,68,Y,N,N,N,N,9999,99,99,,,,,,,32071,
1278,桧木内,ヒノキナイ,32,A,39,48.7,39.8117,140,35.1,140.5850,255,Y,N,N,N,N,9999,99,99,,,,,,,32376,
1289,八幡平,ハチマンタイ,32,A,40,0.8,40.0133,140,48.1,140.8017,578,Y,Y,Y,Y,N,9999,99,99,,,,,,,32266,
1407,笹子,ジネゴ,32,A,39,6.2,39.1033,140,17.6,140.2933,200,Y,N,N,N,N,9999,99,99,,,,,,,32681,
1408,藤原,フジワラ,32,A,40,21.3,40.3550,140,46.9,140.7817,280,Y,N,N,N,N,9999,99,99,,,,,,,32096,
1422,男鹿真山,オガシンザン,32,A,39,56.3,39.9383,139,46.9,139.7817,84,Y,N,N,N,N,9999,99,99,,,,,,,32276,
1425,仁別,ニベツ,32,A,39,48,39.8000,140,13,140.2167,179,Y,N,N,N,N,9999,99,99,,,,,,,32408,
1463,脇神,ワキガミ,32,A,40,11.5,40.1917,140,22.3,140.3717,84,Y,Y,Y,N,N,9999,99,99,,,,,,,32181,
1511,雄和,ユウワ,32,A,39,36.9,39.6150,140,13.1,140.2183,91,Y,Y,Y,N,N,9999,99,99,,,,,,,32451,
0205,種市,タネイチ,33,A,40,24.2,40.4033,141,42,141.7000,70,Y,Y,Y,Y,N,9999,99,99,,,,,,,33006,
0206,軽米,カルマイ,33,A,40,19.1,40.3183,141,28.2,141.4700,153,Y,Y,Y,Y,N,9999,99,99,,,,,,,33026,
0207,二戸,ニノヘ,33,A,40,17.8,40.2967,141,17.9,141.2983,87,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33071,33905
0208,折爪岳,オリヅメダケ,33,A,40,15.8,40.2633,141,22.5,141.3750,844,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
0209,久慈,クジ,33,A,40,11.3,40.1883,141,46.5,141.7750,5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,33146,33960
0210,西岳,ニシダケ,33,A,40,5,40.0833,141,10.4,141.1733,1008,Y,N,N,N,N,2009,11,2,2009/11/2,,,,,,,
